category,uid,historical_class,pre_residual_current_class,post_residual_current_class,post_residual_best_fg_ratio,post_residual_best_bbox_area_ratio,post_residual_best_max_dim,post_residual_view_classes,asset_dir,usd_path
pillow,f41d42808b984bc5132c38489d2978bd,suspicious,suspicious,suspicious,0.091984,0.118835,264,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f41d42808b984bc5132c38489d2978bd,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f41d42808b984bc5132c38489d2978bd/usd/f41d42808b984bc5132c38489d2978bd.usd
pillow,f4b294a04ae7d99f1054fbb095cfb3ca,suspicious,suspicious,suspicious,0.122555,0.182785,304,ok;ok;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f4b294a04ae7d99f1054fbb095cfb3ca,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f4b294a04ae7d99f1054fbb095cfb3ca/usd/f4b294a04ae7d99f1054fbb095cfb3ca.usd
pillow,f53313ff6d06c7ed2350152164511b85,suspicious,suspicious,suspicious,0.099113,0.126068,273,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f53313ff6d06c7ed2350152164511b85,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f53313ff6d06c7ed2350152164511b85/usd/f53313ff6d06c7ed2350152164511b85.usd
pillow,f60eb5426bf10efe6db67c1985468ef9,suspicious,suspicious,suspicious,0.084736,0.101494,251,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f60eb5426bf10efe6db67c1985468ef9,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/f60eb5426bf10efe6db67c1985468ef9/usd/f60eb5426bf10efe6db67c1985468ef9.usd
pillow,fb7dd4a36ffcacf95bc58f34fd5f7c1e,suspicious,suspicious,suspicious,0.026752,0.037788,254,ok;ok;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/fb7dd4a36ffcacf95bc58f34fd5f7c1e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/fb7dd4a36ffcacf95bc58f34fd5f7c1e/usd/fb7dd4a36ffcacf95bc58f34fd5f7c1e.usd
pillow,fba728a98ca25b9e4891c5573e7d02a9,suspicious,suspicious,suspicious,0.057850,0.091499,220,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/fba728a98ca25b9e4891c5573e7d02a9,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/fba728a98ca25b9e4891c5573e7d02a9/usd/fba728a98ca25b9e4891c5573e7d02a9.usd
pillow,fdec63ed629f8412924ffbb0f14c01db,suspicious,suspicious,suspicious,0.110218,0.161762,320,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/fdec63ed629f8412924ffbb0f14c01db,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/fdec63ed629f8412924ffbb0f14c01db/usd/fdec63ed629f8412924ffbb0f14c01db.usd
pillow,ff9aaf0d8a87911dc6ca0a73fa9089fe,suspicious,suspicious,suspicious,0.092529,0.158638,264,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/ff9aaf0d8a87911dc6ca0a73fa9089fe,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/ff9aaf0d8a87911dc6ca0a73fa9089fe/usd/ff9aaf0d8a87911dc6ca0a73fa9089fe.usd
plant,03f04155efc33ea805af13cb31f3ce86,suspicious,suspicious,suspicious,0.036102,0.079632,212,ok;ok;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/03f04155efc33ea805af13cb31f3ce86,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/03f04155efc33ea805af13cb31f3ce86/usd/03f04155efc33ea805af13cb31f3ce86.usd
plant,0dd7f9190bac61889175c2bfb48570b6,suspicious,suspicious,suspicious,0.907322,1.000000,512,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/0dd7f9190bac61889175c2bfb48570b6,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/0dd7f9190bac61889175c2bfb48570b6/usd/0dd7f9190bac61889175c2bfb48570b6.usd
