label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
baseline84,cabinet,e21d4bb1dbfcf5807d8aa4418113613c,back,tiny,0.007736,60,39,0.008926,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e21d4bb1dbfcf5807d8aa4418113613c/back.png
baseline84,cabinet,e21d4bb1dbfcf5807d8aa4418113613c,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e21d4bb1dbfcf5807d8aa4418113613c/right.png
baseline84,cabinet,e2b8800c58a36ce26a041ea22343d54a,front,tiny,0.002224,20,41,0.003128,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e2b8800c58a36ce26a041ea22343d54a/front.png
baseline84,cabinet,e2b8800c58a36ce26a041ea22343d54a,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e2b8800c58a36ce26a041ea22343d54a/left.png
baseline84,cabinet,e2b8800c58a36ce26a041ea22343d54a,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e2b8800c58a36ce26a041ea22343d54a/back.png
baseline84,cabinet,e2b8800c58a36ce26a041ea22343d54a,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e2b8800c58a36ce26a041ea22343d54a/right.png
baseline84,cabinet,e9a4e1fc5ec5eaa27245f6a2b75993ba,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e9a4e1fc5ec5eaa27245f6a2b75993ba/front.png
baseline84,cabinet,e9a4e1fc5ec5eaa27245f6a2b75993ba,left,tiny,0.001114,28,11,0.001175,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e9a4e1fc5ec5eaa27245f6a2b75993ba/left.png
baseline84,cabinet,e9a4e1fc5ec5eaa27245f6a2b75993ba,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e9a4e1fc5ec5eaa27245f6a2b75993ba/back.png
baseline84,cabinet,e9a4e1fc5ec5eaa27245f6a2b75993ba,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/e9a4e1fc5ec5eaa27245f6a2b75993ba/right.png
baseline84,cabinet,ebc2b84a248d43815706c0cc06013d2d,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ebc2b84a248d43815706c0cc06013d2d/front.png
baseline84,cabinet,ebc2b84a248d43815706c0cc06013d2d,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ebc2b84a248d43815706c0cc06013d2d/left.png
baseline84,cabinet,ebc2b84a248d43815706c0cc06013d2d,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ebc2b84a248d43815706c0cc06013d2d/back.png
baseline84,cabinet,ebc2b84a248d43815706c0cc06013d2d,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ebc2b84a248d43815706c0cc06013d2d/right.png
baseline84,cabinet,ee5e3b5379985e5884dca7d4bafcab0f,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ee5e3b5379985e5884dca7d4bafcab0f/front.png
baseline84,cabinet,ee5e3b5379985e5884dca7d4bafcab0f,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ee5e3b5379985e5884dca7d4bafcab0f/left.png
baseline84,cabinet,ee5e3b5379985e5884dca7d4bafcab0f,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ee5e3b5379985e5884dca7d4bafcab0f/back.png
