category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
bottle,2ced14cd976041f62906951d2822cb21,left,ok,0.135372,146,339,0.188805,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2ced14cd976041f62906951d2822cb21/left.png
bottle,2ced14cd976041f62906951d2822cb21,back,ok,0.168758,457,120,0.209198,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2ced14cd976041f62906951d2822cb21/back.png
bottle,2ced14cd976041f62906951d2822cb21,right,ok,0.110451,118,342,0.153946,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2ced14cd976041f62906951d2822cb21/right.png
bottle,2d830328500665ee4495ba46fb745441,front,ok,0.184376,461,132,0.232132,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2d830328500665ee4495ba46fb745441/front.png
bottle,2d830328500665ee4495ba46fb745441,left,ok,0.183624,196,345,0.257950,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2d830328500665ee4495ba46fb745441/left.png
bottle,2d830328500665ee4495ba46fb745441,back,ok,0.184250,461,132,0.232132,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2d830328500665ee4495ba46fb745441/back.png
bottle,2d830328500665ee4495ba46fb745441,right,ok,0.110180,134,365,0.186577,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2d830328500665ee4495ba46fb745441/right.png
bottle,2dbf39466131f49990665adad8437b83,front,ok,0.268982,466,180,0.319977,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dbf39466131f49990665adad8437b83/front.png
bottle,2dbf39466131f49990665adad8437b83,left,ok,0.241734,232,346,0.306213,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dbf39466131f49990665adad8437b83/left.png
bottle,2dbf39466131f49990665adad8437b83,back,ok,0.269238,466,181,0.321754,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dbf39466131f49990665adad8437b83/back.png
bottle,2dbf39466131f49990665adad8437b83,right,ok,0.194439,186,353,0.250465,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dbf39466131f49990665adad8437b83/right.png
bottle,2dc18a26b82d6a0e3f7b759eef026bdc,front,ok,0.234829,378,174,0.250900,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dc18a26b82d6a0e3f7b759eef026bdc/front.png
bottle,2dc18a26b82d6a0e3f7b759eef026bdc,left,ok,0.124035,365,324,0.451126,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dc18a26b82d6a0e3f7b759eef026bdc/left.png
bottle,2dc18a26b82d6a0e3f7b759eef026bdc,back,ok,0.122726,307,326,0.381783,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dc18a26b82d6a0e3f7b759eef026bdc/back.png
bottle,2dc18a26b82d6a0e3f7b759eef026bdc,right,ok,0.133411,305,271,0.315304,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2dc18a26b82d6a0e3f7b759eef026bdc/right.png
bottle,2e544c656f9a010185fdb0530cfc243c,front,ok,0.200138,431,186,0.305809,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2e544c656f9a010185fdb0530cfc243c/front.png
bottle,2e544c656f9a010185fdb0530cfc243c,left,ok,0.267807,296,320,0.361328,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2e544c656f9a010185fdb0530cfc243c/left.png
bottle,2e544c656f9a010185fdb0530cfc243c,back,ok,0.248863,431,186,0.305809,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2e544c656f9a010185fdb0530cfc243c/back.png
bottle,2e544c656f9a010185fdb0530cfc243c,right,ok,0.184525,224,326,0.278564,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2e544c656f9a010185fdb0530cfc243c/right.png
bottle,2f03f0c6f6cbefcadc1137c1e620d176,front,ok,0.183262,446,135,0.229683,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2f03f0c6f6cbefcadc1137c1e620d176/front.png
bottle,2f03f0c6f6cbefcadc1137c1e620d176,left,ok,0.150867,162,332,0.205170,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2f03f0c6f6cbefcadc1137c1e620d176/left.png
bottle,2f03f0c6f6cbefcadc1137c1e620d176,back,ok,0.183800,449,135,0.231228,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2f03f0c6f6cbefcadc1137c1e620d176/back.png
bottle,2f03f0c6f6cbefcadc1137c1e620d176,right,ok,0.117073,134,336,0.171753,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/2f03f0c6f6cbefcadc1137c1e620d176/right.png
bottle,30a990ebc15a71d7da8baeac0600664d,front,ok,0.272671,480,173,0.316772,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30a990ebc15a71d7da8baeac0600664d/front.png
bottle,30a990ebc15a71d7da8baeac0600664d,left,ok,0.280968,292,370,0.412140,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30a990ebc15a71d7da8baeac0600664d/left.png
bottle,30a990ebc15a71d7da8baeac0600664d,back,ok,0.288704,479,173,0.316113,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30a990ebc15a71d7da8baeac0600664d/back.png
bottle,30a990ebc15a71d7da8baeac0600664d,right,ok,0.279129,294,370,0.414963,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30a990ebc15a71d7da8baeac0600664d/right.png
bottle,30ba96a4f082b37f132e9653fbea9c15,front,ok,0.377003,414,254,0.401138,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30ba96a4f082b37f132e9653fbea9c15/front.png
bottle,30ba96a4f082b37f132e9653fbea9c15,left,ok,0.276394,250,402,0.383377,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30ba96a4f082b37f132e9653fbea9c15/left.png
bottle,30ba96a4f082b37f132e9653fbea9c15,back,ok,0.377445,414,254,0.401138,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30ba96a4f082b37f132e9653fbea9c15/back.png
bottle,30ba96a4f082b37f132e9653fbea9c15,right,ok,0.293320,260,411,0.407639,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/30ba96a4f082b37f132e9653fbea9c15/right.png
bottle,312e1f34a6fd0ea7762fed294b7d9d89,front,ok,0.146484,477,100,0.181961,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/312e1f34a6fd0ea7762fed294b7d9d89/front.png
bottle,312e1f34a6fd0ea7762fed294b7d9d89,left,ok,0.144382,156,357,0.212448,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/312e1f34a6fd0ea7762fed294b7d9d89/left.png
bottle,312e1f34a6fd0ea7762fed294b7d9d89,back,ok,0.161575,470,111,0.199013,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/312e1f34a6fd0ea7762fed294b7d9d89/back.png
