category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
book,07d6f09b6933d6229f549b7b15fc31e4,right,ok,0.270668,346,277,0.365608,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/07d6f09b6933d6229f549b7b15fc31e4/right.png
book,0902f9f4410f06f81c5642879e041783,front,ok,0.222687,508,139,0.269363,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0902f9f4410f06f81c5642879e041783/front.png
book,0902f9f4410f06f81c5642879e041783,left,ok,0.242546,340,280,0.363159,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0902f9f4410f06f81c5642879e041783/left.png
book,0902f9f4410f06f81c5642879e041783,back,ok,0.220768,506,138,0.266373,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0902f9f4410f06f81c5642879e041783/back.png
book,0902f9f4410f06f81c5642879e041783,right,ok,0.265125,340,280,0.363159,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0902f9f4410f06f81c5642879e041783/right.png
book,09321dff9ec63994b04228a156a69c20,front,ok,0.292221,512,169,0.330078,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09321dff9ec63994b04228a156a69c20/front.png
book,09321dff9ec63994b04228a156a69c20,left,ok,0.311527,343,312,0.408234,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09321dff9ec63994b04228a156a69c20/left.png
book,09321dff9ec63994b04228a156a69c20,back,ok,0.289375,512,167,0.326172,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09321dff9ec63994b04228a156a69c20/back.png
book,09321dff9ec63994b04228a156a69c20,right,ok,0.311405,342,312,0.407043,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09321dff9ec63994b04228a156a69c20/right.png
book,09ab868e597b1c5ee681a35942c444af,front,ok,0.333256,443,259,0.437687,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09ab868e597b1c5ee681a35942c444af/front.png
book,09ab868e597b1c5ee681a35942c444af,left,ok,0.092552,99,435,0.164280,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09ab868e597b1c5ee681a35942c444af/left.png
book,09ab868e597b1c5ee681a35942c444af,back,ok,0.331776,443,254,0.429237,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09ab868e597b1c5ee681a35942c444af/back.png
book,09ab868e597b1c5ee681a35942c444af,right,ok,0.092041,100,436,0.166321,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/09ab868e597b1c5ee681a35942c444af/right.png
book,0a462033850af470022eb606b3cf215f,front,ok,0.228336,506,138,0.266373,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0a462033850af470022eb606b3cf215f/front.png
book,0a462033850af470022eb606b3cf215f,left,ok,0.269508,336,283,0.362732,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0a462033850af470022eb606b3cf215f/left.png
book,0a462033850af470022eb606b3cf215f,back,ok,0.232510,510,140,0.272369,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0a462033850af470022eb606b3cf215f/back.png
book,0a462033850af470022eb606b3cf215f,right,ok,0.269733,337,283,0.363811,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0a462033850af470022eb606b3cf215f/right.png
book,0aaf3ca66b2ae3a61e28ec5b97a56d98,front,ok,0.275673,390,253,0.376396,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0aaf3ca66b2ae3a61e28ec5b97a56d98/front.png
book,0aaf3ca66b2ae3a61e28ec5b97a56d98,left,ok,0.079060,68,366,0.094940,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0aaf3ca66b2ae3a61e28ec5b97a56d98/left.png
